,date,new_tweet
0,10/20/2016 16:58,"['Aap', 'jio', 'hazaro', 'sall', 'viru', 'sir', 'bc', 'aap', 'jesa', 'kha', 'happy', 'birth', 'day', 'love', 'u', 'sir']"
1,10/20/2016 16:57,"['jio', '2G']"
2,10/20/2016 16:57,"['rrn', 'z', 'jfjfif', 'fNwt5', 'lgg', 'auuaj', 'wt', 'tttJjMm', '8', 'otp', 'x', 'k', 'eg', 'g', 'eagXtltj69', 'jio', 'M', 'yqg', '88', '2', '7', '0']"
3,10/20/2016 16:56,"['mukeshambani13', 'Sir', 'Your', 'jio', 'good', 'customer', 'cares', 'answer', 'call', 'generated', 'code', 'goes', 'want', 'back', 'come']"
4,10/20/2016 16:55,"['3', 'http', 'nationalvoice', 'categorydetail', 'aspx', 'newid', '12122', 'RelianceJio', 'Jio4G', 'Jio', 'pic', 'twitter', 'com', 'dJTcFIXLk4']"
5,10/20/2016 16:54,"['kimicheonnie', 'younghxxn', 'SQUEAKS', 'THERE', 'SHE', 'GOES', 'AGAIN', 'yes', 'jio', 'could']"
6,10/20/2016 16:54,"['kimicheonnie', 'younghxxn', 'lalalala', 'cant', 'hear']"
7,10/20/2016 16:53,"['yxxngi', 'younghxxn', 'w', 'yes', 'jio', 'could']"
8,10/20/2016 16:53,"['Jio', 'slowest', '4G', 'service', 'India']"
9,10/20/2016 16:52,"['MukeshAambani', 'Hello', 'sir']"
10,10/20/2016 16:52,"['NargisFakhri', 'Happy', 'birthday', 'Aap', 'Jio', 'Hajaro', 'Saal']"
11,10/20/2016 16:52,"['kimicheonnie', 'younghxxn', 'OH', 'MY', 'GOSH', 'LOOK', 'AT', 'THIS', 'PRECIOUS', 'BABY', 'JIO', 'HOW', 'CAN', 'WE', 'ACCUSE', 'HER', 'OF', 'SUCH', 'THINGS', 'WHEN', 'SHE', 'USES', 'EMOJIS', 'LIKE', 'THESE']"
12,10/20/2016 16:51,"['Sir', 'hame', 'eke', 'jio', 'sim', 'chahiye', 'Address', 'vill', 'po', 'PS', 'Rahui']"
13,10/20/2016 16:48,"['Tired', 'trying', 'Customer', 'care', 'responding', 'Plaese', 'assist', 'fix', 'issue', 'JioCare', 'reliancejio', 'jio', 'samsungon8', 'https', 'twitter', 'com', 'idiotrous', 'stat', 'us', '789251270749982720']"
14,10/20/2016 16:45,"['JioCare', 'reliancejio', 'team', 'jio', 'please', 'look', 'matter', 'Unable', 'generate', 'code', 'galaxy', 'on8', 'App', 'showing', 'option', 'generate', 'code']"
15,10/20/2016 16:41,"['RIL', 'invest', 'Rs', '1', 'lakh', 'cr', 'Jio', 'http', 'newsboss', 'ly', 'rgaTsa']"
